,fname,label,prediction,probability
0,00001.jpg,Suzuki Aerio Sedan 2007,Suzuki Aerio Sedan 2007,0.999190032
1,00002.jpg,Ferrari 458 Italia Convertible 2012,Ferrari 458 Italia Convertible 2012,0.956331491
2,00003.jpg,Jeep Patriot SUV 2012,Jeep Patriot SUV 2012,0.999763668
3,00004.jpg,Toyota Camry Sedan 2012,Toyota Camry Sedan 2012,0.9999336
4,00005.jpg,Tesla Model S Sedan 2012,Tesla Model S Sedan 2012,0.999831676
5,00006.jpg,Chrysler Town and Country Minivan 2012,Chrysler Town and Country Minivan 2012,0.996016562
6,00007.jpg,GMC Terrain SUV 2012,GMC Terrain SUV 2012,0.999750912
7,00008.jpg,Mercedes-Benz S-Class Sedan 2012,Mercedes-Benz S-Class Sedan 2012,0.969874024
8,00009.jpg,BMW X5 SUV 2007,BMW X5 SUV 2007,0.999486804
9,00010.jpg,Chevrolet HHR SS 2010,Chevrolet HHR SS 2010,0.999976516
10,00011.jpg,Buick Verano Sedan 2012,Buick Verano Sedan 2012,0.996157944
11,00012.jpg,Ford Freestar Minivan 2007,Ford Freestar Minivan 2007,0.999898434
12,00013.jpg,Ford E-Series Wagon Van 2012,Ford E-Series Wagon Van 2012,0.986693919
13,00014.jpg,Hyundai Elantra Sedan 2007,Hyundai Elantra Sedan 2007,0.999633074
14,00015.jpg,Dodge Caliber Wagon 2012,Dodge Caliber Wagon 2012,0.993455112
15,00016.jpg,Cadillac CTS-V Sedan 2012,Cadillac CTS-V Sedan 2012,0.992324829
16,00017.jpg,Land Rover Range Rover SUV 2012,Land Rover Range Rover SUV 2012,0.999946713
17,00018.jpg,BMW X6 SUV 2012,BMW X6 SUV 2012,0.990171134
18,00019.jpg,Audi S5 Coupe 2012,Audi S5 Coupe 2012,0.997248113
19,00020.jpg,BMW X5 SUV 2007,BMW X5 SUV 2007,0.995197594
20,00021.jpg,Lamborghini Aventador Coupe 2012,Lamborghini Aventador Coupe 2012,0.995570004
21,00022.jpg,Acura TL Type-S 2008,Acura TL Type-S 2008,0.990366936
22,00023.jpg,Chrysler PT Cruiser Convertible 2008,Chrysler PT Cruiser Convertible 2008,0.999996185
23,00024.jpg,Ford Mustang Convertible 2007,Chevrolet Camaro Convertible 2012,0.987998843
24,00025.jpg,Mercedes-Benz S-Class Sedan 2012,Mercedes-Benz S-Class Sedan 2012,0.998520315
25,00026.jpg,Volkswagen Golf Hatchback 1991,Volkswagen Golf Hatchback 1991,0.99961412
26,00027.jpg,Nissan Juke Hatchback 2012,Nissan Juke Hatchback 2012,0.999749482
27,00028.jpg,Volvo XC90 SUV 2007,Volvo XC90 SUV 2007,0.999035716
28,00029.jpg,Dodge Dakota Club Cab 2007,Dodge Dakota Club Cab 2007,0.536679506
29,00030.jpg,Acura TSX Sedan 2012,Acura TSX Sedan 2012,0.997054219
30,00031.jpg,Mercedes-Benz E-Class Sedan 2012,Mercedes-Benz E-Class Sedan 2012,0.968831956
31,00032.jpg,Jeep Grand Cherokee SUV 2012,Jeep Grand Cherokee SUV 2012,0.997546256
32,00033.jpg,Toyota Corolla Sedan 2012,Toyota Camry Sedan 2012,0.999394655
33,00034.jpg,Bentley Continental Flying Spur Sedan 2007,Bentley Continental Flying Spur Sedan 2007,0.995795846
34,00035.jpg,BMW X6 SUV 2012,BMW X6 SUV 2012,0.888758719
35,00036.jpg,Acura ZDX Hatchback 2012,Acura ZDX Hatchback 2012,0.999991417
36,00037.jpg,BMW 6 Series Convertible 2007,BMW 6 Series Convertible 2007,0.999060094
37,00038.jpg,Chevrolet Silverado 1500 Extended Cab 2012,Chevrolet Silverado 1500 Extended Cab 2012,0.975973368
38,00039.jpg,BMW 3 Series Wagon 2012,BMW 3 Series Wagon 2012,0.997424841
39,00040.jpg,Mercedes-Benz Sprinter Van 2012,Mercedes-Benz Sprinter Van 2012,0.99870944
40,00041.jpg,Spyker C8 Coupe 2009,Spyker C8 Coupe 2009,0.915861785
41,00042.jpg,Ford F-450 Super Duty Crew Cab 2012,Ford F-450 Super Duty Crew Cab 2012,0.999886513
42,00043.jpg,Acura TL Sedan 2012,Acura TL Sedan 2012,0.787425995
43,00044.jpg,Chevrolet Avalanche Crew Cab 2012,Chevrolet Avalanche Crew Cab 2012,0.98470068
44,00045.jpg,Volkswagen Golf Hatchback 1991,Volkswagen Golf Hatchback 1991,0.999648809
45,00046.jpg,BMW M5 Sedan 2010,BMW M5 Sedan 2010,0.988473356
